sampno,alpha,beta,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,MIN_TITRE,obs_sd,rho_mean,rho_sd,titre_dependent,rho,rho,rho,rho,rho,lnlike,likelihood,prior_prob
171,0.333333333333333,0.333333333333333,2.08010550253093,1.95766419004649,0.000676445672288542,0.644144095038064,0.0922758601605892,0.0385494254878722,8,0,1.38748207595199,0,1,0,-0.811954083479941,-0.550690344441683,-0.419802860124036,-0.292292258702219,-0.0403530477546159,-1689.21857158109,-1393.17583017991,-296.04274140118
181,0.333333333333333,0.333333333333333,2.08010550253093,1.95766419004649,0.000676445672288542,0.644144095038064,0.0922758601605892,0.0385494254878722,8,0,1.38748207595199,0,1,0,-0.805713999364525,-0.550690344441683,-0.559461301239207,-0.292292258702219,-0.0403530477546159,-1670.87222653871,-1360.60191930349,-310.270307235215
191,0.333333333333333,0.333333333333333,2.08010550253093,2.2108813976869,0.00218404425308109,0.644144095038064,0.0978826074162498,0.0385494254878722,8,0,1.38748207595199,0,1,0,-0.805713999364525,-0.550690344441683,-0.559461301239207,-0.292292258702219,-0.0403530477546159,-1682.83638006478,-1346.48477417688,-336.351605887892
201,0.333333333333333,0.333333333333333,2.08010550253093,2.24037527199835,0.00218404425308109,0.644144095038064,0.0978826074162498,0.0385494254878722,8,0,1.38748207595199,0,1,0,-0.805713999364525,-0.721587807592005,-0.543484855536371,-0.292292258702219,-0.15850621284917,-1658.44937156359,-1328.7880518586,-329.661319704985
211,0.333333333333333,0.333333333333333,2.08010550253093,2.24037527199835,0.0129973926953971,0.655304352636449,0.0739355534780771,0.0519812995451503,8,0,1.16644316643942,0,1,0,-0.657864509895444,-0.721587807592005,-0.543484855536371,-0.292292258702219,-0.15850621284917,-1616.45999843465,-1288.29547839957,-328.164520035077
221,0.333333333333333,0.333333333333333,2.08010550253093,2.24037527199835,0.0219134506396949,0.655304352636449,0.0739355534780771,0.0519812995451503,8,0,1.16644316643942,0,1,0,-0.657864509895444,-0.522030813014135,-0.543484855536371,-0.292292258702219,-0.15850621284917,-1631.17183273412,-1300.90929290209,-330.262539832024
231,0.333333333333333,0.333333333333333,2.08010550253093,2.24037527199835,0.0219134506396949,0.652911790530198,0.103643241710961,0.0519812995451503,8,0,1.16644316643942,0,1,0,-0.470871506212279,-0.522030813014135,-0.543484855536371,-0.292292258702219,-0.15850621284917,-1623.7789660151,-1290.10076255266,-333.67820346244
241,0.333333333333333,0.333333333333333,2.05276387669146,2.24037527199835,0.0624112537922338,0.691362713999115,0.103643241710961,0.0519812995451503,8,0,1.16644316643942,0,1,0,-0.470871506212279,-0.522030813014135,-0.543484855536371,-0.292292258702219,-0.15850621284917,-1620.2440060555,-1269.89493467391,-350.349071381586
251,0.333333333333333,0.333333333333333,2.05276387669146,2.24037527199835,0.0624112537922338,0.691362713999115,0.107204002817161,0.067835387296509,8,0,1.16644316643942,0,1,0,-0.470871506212279,-0.522030813014135,-0.434225568920374,-0.464758112281561,-0.15850621284917,-1631.78641277878,-1265.66697644518,-366.119436333603
261,0.333333333333333,0.333333333333333,2.12145896106958,2.18449420388788,0.0624112537922338,0.641442519752309,0.107204002817161,0.0956563997664489,8,0,1.16644316643942,0,1,0,-0.470871506212279,-0.522030813014135,-0.434225568920374,-0.464758112281561,-0.288081981753931,-1604.58935962479,-1253.79858274369,-350.790776881099
